,shot#,time,Ip,Bt,a,R,tria,elon,Wmcc,fname
18,41629.0,0.19169999999999998,0.354,0.9,22.6,37.0,0.35,1.7,13129.0,Profiles_export_2/shot41629_t192.txt
19,41629.0,0.1948,0.354,0.9,22.6,37.0,0.34,1.7,13592.0,Profiles_export_2/shot41629_t195.txt
20,41629.0,0.1978,0.354,0.9,22.6,37.0,0.35,1.7,13485.0,Profiles_export_2/shot41629_t198.txt
21,41629.0,0.2008,0.354,0.9,22.5,37.0,0.35,1.7,13340.0,Profiles_export_2/shot41629_t201.txt
22,41629.0,0.2039,0.354,0.9,22.6,37.1,0.35,1.7,13676.0,Profiles_export_2/shot41629_t204.txt
23,41629.0,0.2069,0.354,0.9,22.6,37.0,0.35,1.7,13618.0,Profiles_export_2/shot41629_t207.txt
24,41644.0,0.19169999999999998,0.408,0.9,22.9,36.5,0.35,1.8,14876.0,Profiles_export_2/shot41644_t192.txt
25,41644.0,0.1948,0.408,0.9,22.9,36.4,0.36,1.8,14891.0,Profiles_export_2/shot41644_t195.txt
26,41644.0,0.1978,0.408,0.9,22.9,36.5,0.36,1.8,14752.0,Profiles_export_2/shot41644_t198.txt
27,41644.0,0.2008,0.407,0.9,22.8,36.5,0.36,1.8,14844.0,Profiles_export_2/shot41644_t201.txt
28,41644.0,0.2039,0.407,0.9,22.8,36.6,0.36,1.8,14807.0,Profiles_export_2/shot41644_t204.txt
29,41644.0,0.2069,0.407,0.9,22.8,36.6,0.36,1.8,14918.0,Profiles_export_2/shot41644_t207.txt
30,41644.0,0.2099,0.407,0.9,22.7,36.5,0.37,1.8,14960.0,Profiles_export_2/shot41644_t210.txt
31,41645.0,0.19169999999999998,0.408,0.9,22.9,36.5,0.37,1.8,14202.0,Profiles_export_2/shot41645_t192.txt
32,41645.0,0.1948,0.408,0.9,22.9,36.5,0.36,1.8,14409.0,Profiles_export_2/shot41645_t195.txt
33,41645.0,0.1978,0.408,0.9,22.7,36.5,0.35,1.8,14480.0,Profiles_export_2/shot41645_t198.txt
34,41645.0,0.2008,0.405,0.9,22.8,36.4,0.36,1.8,14853.0,Profiles_export_2/shot41645_t201.txt
35,41645.0,0.2039,0.405,0.9,22.7,36.5,0.36,1.8,14682.0,Profiles_export_2/shot41645_t204.txt
36,41645.0,0.2069,0.405,0.9,22.6,36.6,0.36,1.8,14565.0,Profiles_export_2/shot41645_t207.txt
37,41645.0,0.2099,0.405,0.9,22.6,36.6,0.36,1.8,14494.0,Profiles_export_2/shot41645_t210.txt
38,41645.0,0.213,0.404,0.9,22.5,36.6,0.36,1.8,14315.0,Profiles_export_2/shot41645_t213.txt
39,41645.0,0.216,0.404,0.9,22.4,36.6,0.36,1.8,14464.0,Profiles_export_2/shot41645_t216.txt
40,41645.0,0.219,0.404,0.9,22.3,36.6,0.36,1.8,13939.0,Profiles_export_2/shot41645_t219.txt
41,41615.0,0.19169999999999998,0.306,0.9,23.4,36.0,0.39,1.7,10889.0,Profiles_export_2/shot41615_t192.txt
42,41615.0,0.1948,0.306,0.9,23.4,35.9,0.4,1.7,11260.0,Profiles_export_2/shot41615_t195.txt
43,41615.0,0.1978,0.306,0.9,23.3,36.0,0.4,1.7,11079.0,Profiles_export_2/shot41615_t198.txt
44,41615.0,0.2008,0.308,0.9,23.3,36.0,0.39,1.7,10925.0,Profiles_export_2/shot41615_t201.txt
45,41615.0,0.2039,0.308,0.9,23.2,36.1,0.39,1.7,11119.0,Profiles_export_2/shot41615_t204.txt
46,41615.0,0.2069,0.308,0.9,23.2,36.0,0.41,1.7,11040.0,Profiles_export_2/shot41615_t207.txt
47,41615.0,0.2099,0.308,0.9,23.2,36.0,0.4,1.7,11053.0,Profiles_export_2/shot41615_t210.txt
48,41615.0,0.213,0.307,0.9,23.1,36.1,0.4,1.7,10957.0,Profiles_export_2/shot41615_t213.txt
49,41615.0,0.216,0.307,0.9,23.0,36.1,0.39,1.7,11006.0,Profiles_export_2/shot41615_t216.txt
50,41615.0,0.219,0.307,0.9,22.9,36.1,0.39,1.7,10922.0,Profiles_export_2/shot41615_t219.txt
51,42121.0,0.19140000000000001,0.405,0.9,23.6,36.6,0.38,1.8,15417.0,Profiles_export_2/shot42121_t191.txt
